Covered      Range       Script
 100.0%  U+1C00..U+1C4F  Lepcha

 100.0%  U+1C50..U+1C7F  Ol Chiki

 100.0%  U+1C80..U+1C8F  Cyrillic Extended - C

 100.0%  U+1C90..U+1CBF  Georgian Extended

 100.0%  U+1CC0..U+1CCF  Sundanese Supplement

 100.0%  U+1CD0..U+1CFF  Vedic Extensions

 100.0%  U+1D00..U+1D7F  Phonetic Extensions

 100.0%  U+1D80..U+1DBF  Phonetic Extensions Supplement

 100.0%  U+1DC0..U+1DFF  Combining Diacritical Marks Supplement

 100.0%  U+1E00..U+1EFF  Latin Extended Additional

 100.0%  U+1F00..U+1FFF  Greek Extended

 100.0%  U+2000..U+206F  General Punctuation

 100.0%  U+2070..U+209F  Superscripts and Subscripts

 100.0%  U+20A0..U+20CF  Currency Symbols

 100.0%  U+20D0..U+20FF  Combining Diacritical Marks for Symbols

 100.0%  U+2100..U+214F  Letterlike Symbols

 100.0%  U+2150..U+218F  Number Forms

 100.0%  U+2190..U+21FF  Arrows

 100.0%  U+2200..U+22FF  Mathematical Operators

 100.0%  U+2300..U+23FF  Miscellaneous Technical

 100.0%  U+2400..U+243F  Control Pictures

 100.0%  U+2440..U+245F  Optical Character Recognition

 100.0%  U+2460..U+24FF  Enclosed Alphanumerics

 100.0%  U+2500..U+257F  Box Drawing

 100.0%  U+2580..U+259F  Block Elements

 100.0%  U+25A0..U+25FF  Geometric Shapes

 100.0%  U+2600..U+26FF  Miscellaneous Symbols

 100.0%  U+2700..U+27BF  Dingbats

 100.0%  U+27C0..U+27EF  Miscellaneous Mathematical Symbols - A

 100.0%  U+27F0..U+27FF  Supplemental Arrows - A

 100.0%  U+2800..U+28FF  Braille Patterns

 100.0%  U+2900..U+297F  Supplemental Arrows - B

 100.0%  U+2980..U+29FF  Miscellaneous Mathematical Symbols - B

 100.0%  U+2A00..U+2AFF  Supplemental Mathematical Operators

 100.0%  U+2B00..U+2BFF  Miscellaneous Symbols and Arrows

 100.0%  U+2C00..U+2C5F  Glagolitic

 100.0%  U+2C60..U+2C7F  Latin Extended - C

 100.0%  U+2C80..U+2CFF  Coptic

 100.0%  U+2D00..U+2D2F  Georgian Supplement

 100.0%  U+2D30..U+2D7F  Tifinagh

 100.0%  U+2D80..U+2DDF  Ethiopic Extended

 100.0%  U+2DE0..U+2DFF  Cyrillic Extended - A

 100.0%  U+2E00..U+2E7F  Supplemental Punctuation

 100.0%  U+2E80..U+2EFF  CJK Radicals Supplement

 100.0%  U+2F00..U+2FDF  Kangxi Radicals

 100.0%  U+2FE0..U+2FEF  Unassigned

 100.0%  U+2FF0..U+2FFF  Ideographic Description Characters

 100.0%  U+3000..U+303F  CJK Symbols and Punctuation

 100.0%  U+3040..U+309F  Hiragana

 100.0%  U+30A0..U+30FF  Katakana

 100.0%  U+3100..U+312F  Bopomofo

 100.0%  U+3130..U+318F  Hangul Compatibility Jamo

 100.0%  U+3190..U+319F  Kanbun

 100.0%  U+31A0..U+31BF  Bopomofo Extended

 100.0%  U+31C0..U+31EF  CJK Strokes

 100.0%  U+31F0..U+31FF  Katakana Phonetic Extensions

 100.0%  U+3200..U+32FF  Enclosed CJK Letters and Months

 100.0%  U+3300..U+33FF  CJK Compatibility

 100.0%  U+3400..U+4DBF  CJK Unified Ideographs Extension A

 100.0%  U+4DC0..U+4DFF  Yijing Hexagram Symbols

 100.0%  U+4E00..U+9FFF  CJK Unified Ideographs

 100.0%  U+A000..U+A48F  Yi Syllables

 100.0%  U+A490..U+A4CF  Yi Radicals

 100.0%  U+A4D0..U+A4FF  Lisu

 100.0%  U+A500..U+A63F  Vai

 100.0%  U+A640..U+A69F  Cyrillic Extended - B

 100.0%  U+A6A0..U+A6FF  Bamum

 100.0%  U+A700..U+A71F  Modifier Tone Letters

 100.0%  U+A720..U+A7FF  Latin Extended - D

 100.0%  U+A800..U+A82F  Syloti Nagri

 100.0%  U+A830..U+A83F  Common Indic Number Forms

 100.0%  U+A840..U+A87F  Phags-pa

 100.0%  U+A880..U+A8DF  Saurashtra

 100.0%  U+A8E0..U+A8FF  Devanagari Extended

 100.0%  U+A900..U+A92F  Kayah Li

 100.0%  U+A930..U+A95F  Rejang

 100.0%  U+A960..U+A97F  Hangul Jamo Extended - A

 100.0%  U+A980..U+A9DF  Javanese

 100.0%  U+A9E0..U+A9FF  Myanmar Extended - B

 100.0%  U+AA00..U+AA5F  Cham

 100.0%  U+AA60..U+AA7F  Myanmar Extended - A

 100.0%  U+AA80..U+AADF  Tai Viet

 100.0%  U+AAE0..U+AAFF  Meetei Mayek Extensions

 100.0%  U+AB00..U+AB2F  Ethiopic Extended - A

 100.0%  U+AB30..U+AB6F  Latin Extended - E

 100.0%  U+AB70..U+ABBF  Cherokee Supplement

 100.0%  U+ABC0..U+ABFF  Meetei Mayek

 100.0%  U+AC00..U+D7AF  Hangul Syllables

 100.0%  U+D7B0..U+D7FF  Hangul Jamo Extended - B

   0.0%  U+D800..U+DFFF  Surrogate Pairs - Not Used

 100.0%  U+E000..U+E07F  PUA (CSUR/UCSUR): Tengwar

 100.0%  U+E080..U+E0FF  PUA (CSUR/UCSUR): Cirth

  11.2%  U+E100..U+E14F  PUA (CSUR/UCSUR): Engsvanyáli

 100.0%  U+E150..U+E1AF  PUA (CSUR/UCSUR): Kinya

 100.0%  U+E1B0..U+E1CF  PUA (CSUR/UCSUR): Ilianóre

   6.2%  U+E1D0..U+E1FF  PUA (CSUR/UCSUR): Syai

 100.0%  U+E200..U+E26F  PUA (CSUR/UCSUR): Verdurian

  97.9%  U+E270..U+E29F  PUA (CSUR/UCSUR): aUI

  79.2%  U+E2A0..U+E2CF  PUA (CSUR/UCSUR): Amman-Iar

   6.2%  U+E2D0..U+E2DF  PUA (CSUR/UCSUR): Streich

  12.5%  U+E2E0..U+E2FF  PUA (CSUR/UCSUR): Xaîni

 100.0%  U+E300..U+E33F  PUA (CSUR/UCSUR): Mizarian

 100.0%  U+E340..U+E35F  PUA (CSUR/UCSUR): Zírí:Nka

  34.4%  U+E360..U+E37F  PUA (CSUR/UCSUR): Sarkai

  25.0%  U+E380..U+E3AF  PUA (CSUR/UCSUR): Thelwik

 100.0%  U+E3B0..U+E3FF  PUA (CSUR/UCSUR): Olaetyan

  25.0%  U+E400..U+E42F  PUA (CSUR/UCSUR): Nísklôz

   0.0%  U+E430..U+E44F  PUA (CSUR/UCSUR): Kazat ?Akkorou

  37.5%  U+E450..U+E46F  PUA (CSUR/UCSUR): Kazvarad

  12.5%  U+E470..U+E48F  PUA (CSUR/UCSUR): Zarkhánd

  22.9%  U+E490..U+E4BF  PUA (CSUR/UCSUR): Røzhxh

  14.6%  U+E4C0..U+E4EF  PUA (CSUR/UCSUR): Serivelna

   0.0%  U+E4F0..U+E4FF  PUA (CSUR/UCSUR): Kelwathi

  12.5%  U+E500..U+E51F  PUA (CSUR/UCSUR): Saklor

  14.6%  U+E520..U+E54F  PUA (CSUR/UCSUR): Rynnan

  27.1%  U+E550..U+E57F  PUA (CSUR/UCSUR): Alzetjan

  37.5%  U+E580..U+E59F  PUA (CSUR/UCSUR): Telarasso

   9.4%  U+E5A0..U+E5BF  PUA (CSUR/UCSUR): Ssûraki

 100.0%  U+E5C0..U+E5DF  PUA (CSUR/UCSUR): Gargoyle

  18.8%  U+E5E0..U+E5FF  PUA (CSUR/UCSUR): Ophidian

   0.0%  U+E600..U+E62F  PUA (CSUR/UCSUR): Ferengi

 100.0%  U+E630..U+E64F  PUA (CSUR/UCSUR): Seussian Latin Extenstions

 100.0%  U+E650..U+E67F  PUA (CSUR/UCSUR): Sylabica

 100.0%  U+E680..U+E6CF  PUA (CSUR/UCSUR): Ewellic

  33.3%  U+E6D0..U+E6FF  PUA (CSUR/UCSUR): Amlin

 225.0%  U+E740..U+E76F  PUA (CSUR/UCSUR): Unifon

 100.0%  U+E770..U+E77F  PUA (CSUR/UCSUR): Solresol

 100.0%  U+E780..U+E7FF  PUA (CSUR/UCSUR): Visible Speech

 100.0%  U+E800..U+E82F  PUA (CSUR/UCSUR): Monofon

 100.0%  U+E830..U+E88F  PUA (CSUR/UCSUR): D'ni

 100.0%  U+E890..U+E8DF  PUA (CSUR/UCSUR): Aurebesh

 100.0%  U+E8E0..U+E8FF  PUA (CSUR/UCSUR): Tonal

 100.0%  U+E900..U+E97F  PUA (CSUR/UCSUR): Glaitha-A

 100.0%  U+E980..U+E9DF  PUA (CSUR/UCSUR): Glaitha-B

  56.2%  U+EA00..U+EA9F  PUA (CSUR/UCSUR): Lhenazi

 100.0%  U+EAA0..U+EAFF  PUA (CSUR/UCSUR): Wanya

 450.0%  U+ED00..U+ED3F  PUA (CSUR/UCSUR): Deini

 210.4%  U+F8A0..U+F8CF  PUA (CSUR/UCSUR): Aiha

 100.0%  U+F8D0..U+F8FF  PUA (CSUR/UCSUR): Klingon

 100.0%  U+F900..U+FAFF  CJK Compatibility Ideographs

 100.0%  U+FB00..U+FB4F  Alphabetic Presentation Forms

 100.0%  U+FB50..U+FDFF  Arabic Presentation Forms - A

 100.0%  U+FE00..U+FE0F  Variation Selectors

 100.0%  U+FE10..U+FE1F  Vertical Forms

 100.0%  U+FE20..U+FE2F  Combining Half Marks

 100.0%  U+FE30..U+FE4F  CJK Compatibility Forms

 100.0%  U+FE50..U+FE6F  Small Form Variants

 100.0%  U+FE70..U+FEFF  Arabic Presentation Forms - B

 100.0%  U+FF00..U+FFEF  Halfwidth and Fullwidth Forms

 100.0%  U+FFF0..U+FFFF  Specials

 100.0%  U+10000..U+1007F  Linear B Syllabary

 100.0%  U+10080..U+100FF  Linear B Ideograms

 100.0%  U+10100..U+1013F  Aegean Numbers

 100.0%  U+10140..U+1018F  Ancient Greek Numbers

 100.0%  U+10190..U+101CF  Ancient Symbols

 100.0%  U+101D0..U+101FF  Phaistos Disc

 100.0%  U+10200..U+1027F  Unassigned

 100.0%  U+10280..U+1029F  Lycian

 100.0%  U+102A0..U+102DF  Carian

 100.0%  U+102E0..U+102FF  Coptic Epact Numbers

 100.0%  U+10300..U+1032F  Old Italic

 100.0%  U+10330..U+1034F  Gothic

 100.0%  U+10350..U+1037F  Old Permic

 100.0%  U+10380..U+1039F  Ugaritic

 100.0%  U+103A0..U+103DF  Old Persian

 100.0%  U+103E0..U+103FF  Unassigned

 100.0%  U+10400..U+1044F  Deseret

 100.0%  U+10450..U+1047F  Shavian

 100.0%  U+10480..U+104AF  Osmanya

 100.0%  U+104B0..U+104FF  Osage

 100.0%  U+10500..U+1052F  Elbasan

 100.0%  U+10530..U+1056F  Caucasian Albanian

 100.0%  U+10570..U+105FF  Unassigned

 100.0%  U+10600..U+1077F  Linear A

 100.0%  U+10780..U+107FF  Unassigned

 100.0%  U+10800..U+1083F  Cypriot Syllabary

 100.0%  U+10840..U+1085F  Imperial Aramaic

 100.0%  U+10860..U+1087F  Palmyrene

 100.0%  U+10880..U+108AF  Nabataean

 100.0%  U+108B0..U+108DF  Unassigned

 100.0%  U+108E0..U+108FF  Hatran

 100.0%  U+10900..U+1091F  Phoenecian

 100.0%  U+10920..U+1093F  Lydian

 100.0%  U+10940..U+1097F  Unassigned

 100.0%  U+10980..U+1099F  Meroitic Hieroglyphs

 100.0%  U+109A0..U+109FF  Meroitic Cursive

 100.0%  U+10A00..U+10A5F  Kharoshthi

 100.0%  U+10A60..U+10A7F  Old South Arabian

 100.0%  U+10A80..U+10A9F  Old North Arabian

 100.0%  U+10AA0..U+10ABF  Unassigned

 100.0%  U+10AC0..U+10AFF  Manichaean

 100.0%  U+10B00..U+10B3F  Avestan

 100.0%  U+10B40..U+10B5F  Inscriptional Parthian

 100.0%  U+10B60..U+10B7F  Inscriptional Pahlavi

 100.0%  U+10B80..U+10BAF  Psalter Pahlavi

 100.0%  U+10BB0..U+10BFF  Unassigned

 100.0%  U+10C00..U+10C4F  Old Turkic

 100.0%  U+10C50..U+10C7F  Unassigned

 100.0%  U+10C80..U+10CFF  Old Hungarian

 100.0%  U+10D00..U+10D3F  Hanifi Rohingya

 100.0%  U+10D40..U+10E5F  Unassigned

 100.0%  U+10E60..U+10E7F  Rumi Numeral Symbols

 100.0%  U+10E80..U+10EBF  Yezidi

 100.0%  U+10EC0..U+10EFF  Unassigned

 100.0%  U+10F00..U+10F2F  Old Sogdian

 100.0%  U+10F30..U+10F6F  Sogdian

 100.0%  U+10F70..U+10FAF  Unassigned

 100.0%  U+10FB0..U+10FDF  Chorasmian

 100.0%  U+10FE0..U+10FFF  Elymaic

 100.0%  U+11000..U+1107F  Brahmi

 100.0%  U+11080..U+110CF  Kaithi

 100.0%  U+110D0..U+110FF  Sora Sompeng

 100.0%  U+11100..U+1114F  Chakma

 100.0%  U+11150..U+1117F  Mahajani

 100.0%  U+11180..U+111DF  Sharada

 100.0%  U+111E0..U+111FF  Sinhala Archaic Numbers

 100.0%  U+11200..U+1124F  Khojki

 100.0%  U+11250..U+1127F  Unassigned

 100.0%  U+11280..U+112AF  Multani

 100.0%  U+112B0..U+112FF  Khudawadi

 100.0%  U+11300..U+1137F  Grantha

 100.0%  U+11380..U+113FF  Unassigned

 100.0%  U+11400..U+1147F  Newa

 100.0%  U+11480..U+114DF  Tirhuta

 100.0%  U+114E0..U+1157F  Unassigned

 100.0%  U+11580..U+115FF  Siddham

 100.0%  U+11600..U+1165F  Modi

 100.0%  U+11660..U+1167F  Mongolian Supplement

 100.0%  U+11680..U+116CF  Takri

 100.0%  U+116D0..U+116FF  Unassigned

 100.0%  U+11700..U+1173F  Ahom

 100.0%  U+11740..U+117FF  Unassigned

 100.0%  U+11800..U+1184F  Dogra

 100.0%  U+11850..U+1189F  Unassigned

 100.0%  U+118A0..U+118FF  Warang Citi

 100.0%  U+11900..U+1195F  Dives Akuru

 100.0%  U+11960..U+1199F  Unassigned

 100.0%  U+119A0..U+119FF  Nandinagari

 100.0%  U+11A00..U+11A4F  Zanabazar Square

 100.0%  U+11A50..U+11AAF  Soyombo

 100.0%  U+11AB0..U+11ABF  Unassigned

 100.0%  U+11AC0..U+11AFF  Pau Cin Hau

 100.0%  U+11B00..U+11BFF  Unassigned

 100.0%  U+11C00..U+11C6F  Bhaiksuki

 100.0%  U+11C70..U+11CBF  Marchen

 100.0%  U+11CC0..U+11CFF  Unassigned

 100.0%  U+11D00..U+11D5F  Masaram Gondi

 100.0%  U+11D60..U+11DAF  Gunjala Gondi

 100.0%  U+11DB0..U+11EDF  Unassigned

 100.0%  U+11EE0..U+11EFF  Makasar

 100.0%  U+11F00..U+11FAF  Unassigned

 100.0%  U+11FB0..U+11FBF  Lisu Supplement

 100.0%  U+11FC0..U+11FFF  Tamil Supplement

  10.0%  U+12000..U+123FF  Cuneiform

   9.4%  U+12400..U+1247F  Cuneiform Numbers and Punctuation

   5.8%  U+12480..U+1254F  Early Dynastic Cuneiform

 100.0%  U+12550..U+12FFF  Unassigned

   0.1%  U+13000..U+1342F  Egyptian Hieroglyphs

 100.0%  U+13430..U+1343F  Egyptian Hieroglyph Format Controls

 100.0%  U+13440..U+143FF  Unassigned

   8.9%  U+14400..U+1467F  Anatolian Hieroglyphs

 100.0%  U+14680..U+167FF  Unassigned

   1.2%  U+16800..U+16A3F  Bamum Supplement

 100.0%  U+16A40..U+16A6F  Mro

 100.0%  U+16A70..U+16ACF  Unassigned

 100.0%  U+16AD0..U+16AFF  Bassa Vah

 100.0%  U+16B00..U+16B8F  Pahawh Hmong

 100.0%  U+16B90..U+16E3F  Unassigned

 100.0%  U+16E40..U+16E9F  Medefaidrin

 100.0%  U+16EA0..U+16EFF  Unassigned

 100.0%  U+16F00..U+16F9F  Miao

 100.0%  U+16FA0..U+16FDF  Unassigned

 100.0%  U+16FE0..U+16FFF  Ideographic Symbols and Punctuation

   0.1%  U+17000..U+187FF  Tangut

   0.0%  U+18800..U+18AFF  Tangut Components

 100.0%  U+18B00..U+18CFF  Khitan Small Script

  43.8%  U+18D00..U+18D0F  Tangut Supplement

 100.0%  U+18D10..U+1AFFF  Unassigned

 100.0%  U+1B000..U+1B0FF  Kana Supplement

 100.0%  U+1B100..U+1B12F  Kana Extended - A

 100.0%  U+1B130..U+1B16F  Small Kana Extension

 100.0%  U+1B170..U+1B2FF  Nushu

 100.0%  U+1B300..U+1BBFF  Unassigned

 100.0%  U+1BC00..U+1BC9F  Duployan

 100.0%  U+1BCA0..U+1BCAF  Shorthand Format Controls

 100.0%  U+1BCB0..U+1CFFF  Unassigned

 100.0%  U+1D000..U+1D0FF  Byzantine Musical Symbols

 100.0%  U+1D100..U+1D1FF  Musical Symbols

 100.0%  U+1D200..U+1D24F  Ancient Greek Musical Notation

 100.0%  U+1D250..U+1D2DF  Unassigned

 100.0%  U+1D2E0..U+1D2FF  Mayan Numerals

 100.0%  U+1D300..U+1D35F  Tai Xuan Jing Symbols

 100.0%  U+1D360..U+1D37F  Counting Rod Numerals

 100.0%  U+1D380..U+1D3FF  Unassigned

 100.0%  U+1D400..U+1D7FF  Mathematical Alphanumeric Symbols

 100.0%  U+1D800..U+1DAAF  Sutton Sign Writing

 100.0%  U+1DAB0..U+1DFFF  Unassigned

 100.0%  U+1E000..U+1E02F  Glagolitic Supplement

 100.0%  U+1E030..U+1E0FF  Unassigned

 100.0%  U+1E100..U+1E14F  Nyiakeng Puachue Hmong

 100.0%  U+1E150..U+1E2BF  Unassigned

 100.0%  U+1E2C0..U+1E2FF  Wancho

 100.0%  U+1E300..U+1E7FF  Unassigned

 100.0%  U+1E800..U+1E8DF  Mende Kikakui

 100.0%  U+1E8E0..U+1E8FF  Unassigned

 100.0%  U+1E900..U+1E95F  Adlam

 100.0%  U+1E960..U+1EC6F  Unassigned

 100.0%  U+1EC70..U+1ECBF  Indic Siyaq Numbers

 100.0%  U+1ECC0..U+1ECFF  Unassigned

 100.0%  U+1ED00..U+1ED4F  Ottoman Siyaq Numbers

 100.0%  U+1ED50..U+1EDFF  Unassigned

 100.0%  U+1EE00..U+1EEFF  Arabic Mathematical Alphabetic Symbols

 100.0%  U+1EF00..U+1EFFF  Unassigned

 100.0%  U+1F000..U+1F02F  Mahjong Tiles

 100.0%  U+1F030..U+1F09F  Domino Tiles

 100.0%  U+1F0A0..U+1F0FF  Playing Cards

 100.0%  U+1F100..U+1F1FF  Enclosed Alphanumeric Supplement

 100.0%  U+1F200..U+1F2FF  Enclosed Ideographic Supplement

 100.0%  U+1F300..U+1F5FF  Miscellaneous Symbols and Pictographs

 100.0%  U+1F600..U+1F64F  Emoticons

 100.0%  U+1F650..U+1F67F  Ornamental Dingbats

 100.0%  U+1F680..U+1F6FF  Transport and Map Symbols

 100.0%  U+1F700..U+1F77F  Alchemical Symbols

 100.0%  U+1F780..U+1F7FF  Geometric Shapes Extended

 100.0%  U+1F800..U+1F8FF  Supplemental Arrows - C

 100.0%  U+1F900..U+1F9FF  Supplemental Symbols and Pictographs

 100.0%  U+1FA00..U+1FA6F  Chess Symbols

 100.0%  U+1FA70..U+1FAFF  Symbols and Pictographs Extended - A

 100.0%  U+1FB00..U+1FBFF  Symbols for Legacy Computing

 100.0%  U+1FC00..U+1FFFF  Unassigned

   0.0%  U+20000..U+2A6FF  CJK Unified Ideographs Extension B

   0.0%  U+2A700..U+2B73F  CJK Unified Ideographs Extension C

   0.0%  U+2B740..U+2B81F  CJK Unified Ideographs Extension D

   0.0%  U+2B820..U+2CEAF  CJK Unified Ideographs Extension E

   0.0%  U+2CEB0..U+2F7FF  CJK Unified Ideographs Extension F

   0.0%  U+2F800..U+2FF7F  CJK Compatibility Ideographs Supplement

 100.0%  U+E0000..U+E007F  Tags

 100.0%  U+E0100..U+E01EF  Variation Selectors Supplement

 100.0%  U+F0000..U+F0E6F  PUA (CSUR/UCSUR): Kinya Syllables

 114.3%  U+F0E70..U+F16AF  PUA (CSUR/UCSUR): Pikto

